year,month,outage_events,avg_customers_out,total_cust_hours
2014,11,581,596.2244384198295,24498251.0
2014,12,412,298.7436507936508,5286886.5
2015,1,325,228.99649195212547,2640837.75
2015,2,264,222.4813258636788,2248698.0
2015,3,273,304.1546773695585,2201699.5
2016,1,453,348.1185043144775,6059374.0
2016,2,694,603.7446935131918,12494971.0
2016,3,82,475.45276292335114,691026.75
2017,1,497,334.5016841317365,4439376.25
2017,2,443,393.43608549874267,6172357.5
2017,3,181,647.709042076992,2800723.5
2018,1,512,319.93509700176367,4435227.0
2018,2,119,238.70611329220415,811684.25
2019,1,502,331.4090742101396,5019782.0
2019,2,89,267.6060606060606,552125.75
2020,1,353,247.67107350608143,3163940.0
2020,2,7,94.55526315789474,78102.0
2021,1,332,223.373350207919,2584926.5
2021,2,103,294.3763288447909,1057935.75
2022,1,418,319.99353146853144,6110357.75
2022,2,26,257.2236842105263,156360.0
2023,1,0,0.0,0.0
2023,2,0,0.0,0.0
2025,1,417,265.7615317667537,3696816.75
2025,2,23,350.8826530612245,166544.5
