state,county,outage_days,total_days,max_customers,avg_customers,total_cust_hours,outage_rate,state_risk,risk_score,risk_level
Pennsylvania,Philadelphia,180,519,22450.0,1069.0462427745665,1660006.25,0.3468208092485549,0.68,0.4801,HIGH
New York,Suffolk,108,380,23108.0,1008.0657894736842,1138042.0,0.28421052631578947,0.72,0.4585,HIGH
Maine,Cumberland,79,485,28238.0,651.0762886597938,1573206.0,0.16288659793814433,0.87,0.4457,HIGH
Maine,York,67,473,42304.0,597.3044397463002,1612974.25,0.1416490486257928,0.87,0.433,HIGH
Maine,Penobscot,62,501,39495.0,612.0279441117765,2374589.75,0.12375249500998003,0.87,0.4223,HIGH
New York,Nassau,84,380,32589.0,823.6236842105263,879107.25,0.22105263157894736,0.72,0.4206,HIGH
Pennsylvania,Montgomery,121,519,15398.0,743.5722543352601,890202.5,0.23314065510597304,0.68,0.4119,HIGH
Maine,Hancock,52,496,26541.0,550.4193548387096,2408185.0,0.10483870967741936,0.87,0.4109,HIGH
Maine,Oxford,40,427,8570.0,338.4754098360656,606826.5,0.0936768149882904,0.87,0.4042,HIGH
Maine,Piscataquis,32,368,9214.0,313.49184782608694,531573.75,0.08695652173913043,0.87,0.4002,HIGH
Maine,Lincoln,34,396,19773.0,417.9646464646465,1315342.25,0.08585858585858586,0.87,0.3995,HIGH
Maine,Androscoggin,32,406,6566.0,285.9655172413793,328394.25,0.07881773399014778,0.87,0.3953,HIGH
New York,Erie,92,519,52605.0,771.0674373795761,1434074.5,0.17726396917148363,0.72,0.3944,HIGH
Maine,Sagadahoc,23,305,12811.0,243.55081967213115,473923.25,0.07540983606557378,0.87,0.3932,HIGH
Maine,Kennebec,32,435,8570.0,295.983908045977,526370.75,0.0735632183908046,0.87,0.3921,HIGH
New Jersey,Essex,130,519,12038.0,715.5645472061657,691135.0,0.2504816955684008,0.6,0.3903,HIGH
Maine,Washington,27,390,5142.0,188.02307692307693,274170.25,0.06923076923076923,0.87,0.3895,HIGH
Maine,Somerset,13,189,2833.0,196.1058201058201,149317.5,0.06878306878306878,0.87,0.3893,HIGH
Massachusetts,Middlesex,111,519,32359.0,889.6242774566474,1727020.75,0.2138728323699422,0.65,0.3883,HIGH
