county,state,date_only,wind_speed_max,wind_gust_max,wind_dir,precip_sum,rain_sum,snowfall_sum,temp_mean,temp_max,temp_min,soil_moisture_shallow,soil_moisture_deep
Montgomery,Pennsylvania,2020-08-28,9.7,26.6,269,2.9,2.9,0.0,25.3,32.5,21.8,0.2575,0.27
Chester,Pennsylvania,2020-08-28,9.7,31.8,273,5.4,5.4,0.0,25.8,30.9,22.7,0.3335,0.3562
Rockingham,New Hampshire,2020-07-23,6.0,21.0,256,18.6,18.6,0.0,23.0,29.9,19.1,0.2959,0.2027
Middlesex,New Jersey,2020-08-27,16.7,37.8,258,0.4,0.4,0.0,26.1,34.0,20.0,0.255,0.2781
Chester,Pennsylvania,2020-08-23,7.8,17.4,197,2.7,2.7,0.0,23.1,28.4,19.5,0.3592,0.3801
Monmouth,New Jersey,2020-08-03,11.6,26.4,245,1.2,1.2,0.0,27.4,32.6,22.8,0.2252,0.2195
Middlesex,New Jersey,2020-08-03,12.8,25.3,235,1.5,1.5,0.0,27.4,32.2,23.6,0.302,0.2524
Bucks,Pennsylvania,2020-08-27,16.0,38.5,261,0.0,0.0,0.0,26.3,33.3,19.6,0.252,0.2687
Ocean,New Jersey,2020-08-03,12.0,24.6,237,0.9,0.9,0.0,28.0,33.0,23.8,0.2673,0.2408
Philadelphia,Pennsylvania,2020-08-28,11.7,24.4,268,3.3,3.3,0.0,26.1,32.5,22.8,0.2016,0.2473
Bucks,Pennsylvania,2020-08-28,11.4,29.1,271,0.5,0.5,0.0,25.4,32.2,21.4,0.2605,0.2679
Ocean,New Jersey,2020-08-28,11.3,26.6,277,0.1,0.1,0.0,26.7,33.5,23.1,0.234,0.2511
Fairfield,Connecticut,2020-10-07,13.1,34.4,252,1.2,1.2,0.0,16.0,22.2,11.7,0.213,0.2129
New Haven,Connecticut,2020-10-07,15.4,35.3,246,1.4,1.4,0.0,16.5,22.1,13.1,0.2999,0.2926
Philadelphia,Pennsylvania,2020-08-04,25.7,54.4,195,61.0,61.0,0.0,24.3,27.4,22.2,0.3872,0.348
Bucks,Pennsylvania,2020-08-04,21.1,56.4,185,57.7,57.7,0.0,23.5,26.4,21.4,0.3882,0.3196
Montgomery,Pennsylvania,2020-08-04,22.9,63.3,199,71.2,71.2,0.0,23.4,26.8,21.2,0.3929,0.3313
Kennebec,Maine,2020-01-18,7.6,15.2,329,3.5,0.0,2.45,-14.4,-9.9,-19.5,0.376,0.3813
Androscoggin,Maine,2020-01-16,15.0,32.2,360,12.8,0.0,8.96,-1.3,0.4,-6.2,0.2634,0.2736
Kennebec,Maine,2020-03-23,12.4,29.3,138,6.3,0.0,4.41,-1.3,2.5,-5.3,0.3665,0.376
Erie,New York,2020-03-29,25.5,58.2,211,19.9,19.9,0.0,12.6,20.0,7.7,0.4221,0.4237
Penobscot,Maine,2020-07-02,9.5,22.4,218,2.6,2.6,0.0,22.7,30.5,17.8,0.23,0.2155
Chester,Pennsylvania,2020-03-03,14.1,41.8,218,10.2,10.2,0.0,9.5,13.6,5.8,0.4775,0.461
Montgomery,Pennsylvania,2020-03-03,13.9,39.8,213,11.6,11.6,0.0,10.2,14.7,5.2,0.3935,0.3867
Bucks,Pennsylvania,2020-03-03,14.1,39.6,218,12.3,12.3,0.0,10.1,14.6,6.1,0.3813,0.3737
Ocean,New Jersey,2020-03-03,12.1,30.9,212,4.4,4.4,0.0,11.0,15.1,6.9,0.3463,0.3579
Androscoggin,Maine,2020-03-23,12.5,29.1,130,7.9,0.0,5.53,-1.5,1.9,-5.5,0.2458,0.255
Worcester,Massachusetts,2020-05-15,12.4,35.6,236,6.1,6.1,0.0,16.2,24.0,8.9,0.1799,0.1889
