county,state,forecast_time,forecast_end,temperature_f,wind_speed_str,wind_direction,short_forecast,detailed_forecast,precipitation_pct,fetched_at,wind_mph_max,wind_mph,ice_accretion_risk,lightning_risk,convective_severity,composite_weather_risk
Cumberland,Maine,2026-05-17 11:00:00+00:00,2026-05-17T08:00:00-04:00,60,10 mph,W,Sunny,,0,2026-05-17T12:11:39.399295,10.0,10.0,0,0,0.0,0.058
Cumberland,Maine,2026-05-17 12:00:00+00:00,2026-05-17T09:00:00-04:00,62,10 mph,W,Sunny,,0,2026-05-17T12:11:39.399295,10.0,10.0,0,0,0.0,0.058
Cumberland,Maine,2026-05-17 13:00:00+00:00,2026-05-17T10:00:00-04:00,65,10 mph,W,Sunny,,0,2026-05-17T12:11:39.399295,10.0,10.0,0,0,0.0,0.058
Cumberland,Maine,2026-05-17 14:00:00+00:00,2026-05-17T11:00:00-04:00,66,15 mph,W,Sunny,,0,2026-05-17T12:11:39.399295,15.0,15.0,0,0,0.0,0.088
Cumberland,Maine,2026-05-17 15:00:00+00:00,2026-05-17T12:00:00-04:00,68,15 mph,W,Sunny,,0,2026-05-17T12:11:39.399295,15.0,15.0,0,0,0.0,0.088
Cumberland,Maine,2026-05-17 16:00:00+00:00,2026-05-17T13:00:00-04:00,69,15 mph,W,Sunny,,1,2026-05-17T12:11:39.399295,15.0,15.0,0,0,0.0,0.088
Cumberland,Maine,2026-05-17 17:00:00+00:00,2026-05-17T14:00:00-04:00,71,15 mph,W,Sunny,,1,2026-05-17T12:11:39.399295,15.0,15.0,0,0,0.0,0.088
Cumberland,Maine,2026-05-17 18:00:00+00:00,2026-05-17T15:00:00-04:00,71,15 mph,W,Mostly Sunny,,4,2026-05-17T12:11:39.399295,15.0,15.0,0,0,0.0,0.088
Cumberland,Maine,2026-05-17 19:00:00+00:00,2026-05-17T16:00:00-04:00,71,15 mph,W,Sunny,,4,2026-05-17T12:11:39.399295,15.0,15.0,0,0,0.0,0.088
Cumberland,Maine,2026-05-17 20:00:00+00:00,2026-05-17T17:00:00-04:00,72,15 mph,NW,Sunny,,4,2026-05-17T12:11:39.399295,15.0,15.0,0,0,0.0,0.088
Cumberland,Maine,2026-05-17 21:00:00+00:00,2026-05-17T18:00:00-04:00,71,15 mph,NW,Sunny,,5,2026-05-17T12:11:39.399295,15.0,15.0,0,0,0.0,0.088
Cumberland,Maine,2026-05-17 22:00:00+00:00,2026-05-17T19:00:00-04:00,70,15 mph,NW,Mostly Clear,,0,2026-05-17T12:11:39.399295,15.0,15.0,0,0,0.0,0.088
Cumberland,Maine,2026-05-17 23:00:00+00:00,2026-05-17T20:00:00-04:00,67,5 mph,NW,Mostly Clear,,0,2026-05-17T12:11:39.399295,5.0,5.0,0,0,0.0,0.029
Cumberland,Maine,2026-05-18 00:00:00+00:00,2026-05-17T21:00:00-04:00,63,5 mph,NW,Clear,,0,2026-05-17T12:11:39.399295,5.0,5.0,0,0,0.0,0.029
