storm_date,county,state,event_type,storm_tier,magnitude,predicted_customers,actual_customers,ci_low,ci_high,in_ci,predicted_major,actual_major,major_correct,predicted_critical,actual_critical,critical_correct,pct_error
2020-08-28 14:45:00,Montgomery,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2164,1324.0,757,3571,True,True,True,True,False,False,True,63.4
2020-08-28 15:26:00,Chester,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2312,2999.0,809,3815,True,True,True,True,False,False,True,22.9
2020-07-23 17:02:00,Rockingham,New Hampshire,Thunderstorm Wind,MODERATE,50.0,2370,213.0,830,3910,False,True,False,False,False,False,True,1012.7
2020-08-27 20:02:00,Middlesex,New Jersey,Thunderstorm Wind,MODERATE,50.0,2136,2943.0,748,3524,True,True,True,True,False,False,True,27.4
2020-08-23 19:40:00,Chester,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2312,1437.0,809,3815,True,True,True,True,False,False,True,60.9
2020-08-23 19:46:00,Chester,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2312,1437.0,809,3815,True,True,True,True,False,False,True,60.9
2020-08-23 19:45:00,Chester,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2312,1437.0,809,3815,True,True,True,True,False,False,True,60.9
2020-08-23 19:54:00,Chester,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2312,1437.0,809,3815,True,True,True,True,False,False,True,60.9
2020-08-23 20:10:00,Chester,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2312,1437.0,809,3815,True,True,True,True,False,False,True,60.9
2020-08-03 19:32:00,Monmouth,New Jersey,Thunderstorm Wind,MODERATE,50.0,2579,202864.0,903,4255,False,True,True,True,False,True,False,98.7
2020-08-03 19:45:00,Middlesex,New Jersey,Thunderstorm Wind,MODERATE,50.0,2136,100804.0,748,3524,False,True,True,True,False,True,False,97.9
2020-08-27 19:22:00,Bucks,Pennsylvania,Thunderstorm Wind,MODERATE,55.0,2589,17283.0,906,4272,False,True,True,True,False,True,False,85.0
2020-08-03 18:55:00,Ocean,New Jersey,Thunderstorm Wind,SEVERE,65.0,7853,216332.0,1963,13743,False,True,True,True,False,True,False,96.4
2020-08-03 18:37:00,Ocean,New Jersey,Thunderstorm Wind,MODERATE,50.0,2880,216332.0,1008,4752,False,True,True,True,False,True,False,98.7
2020-08-03 18:50:00,Ocean,New Jersey,Thunderstorm Wind,MODERATE,50.0,2880,216332.0,1008,4752,False,True,True,True,False,True,False,98.7
2020-08-03 19:11:00,Ocean,New Jersey,Thunderstorm Wind,MODERATE,50.0,2880,216332.0,1008,4752,False,True,True,True,False,True,False,98.7
2020-08-03 19:15:00,Middlesex,New Jersey,Thunderstorm Wind,MODERATE,50.0,2136,100804.0,748,3524,False,True,True,True,False,True,False,97.9
2020-08-03 18:51:00,Ocean,New Jersey,Thunderstorm Wind,MODERATE,58.0,2880,216332.0,1008,4752,False,True,True,True,False,True,False,98.7
2020-08-03 18:59:00,Ocean,New Jersey,Thunderstorm Wind,MODERATE,50.0,2880,216332.0,1008,4752,False,True,True,True,False,True,False,98.7
2020-08-27 19:27:00,Bucks,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2589,17283.0,906,4272,False,True,True,True,False,True,False,85.0
2020-08-03 19:18:00,Ocean,New Jersey,Thunderstorm Wind,MODERATE,51.0,2880,216332.0,1008,4752,False,True,True,True,False,True,False,98.7
2020-08-03 19:19:00,Ocean,New Jersey,Thunderstorm Wind,MODERATE,51.0,2880,216332.0,1008,4752,False,True,True,True,False,True,False,98.7
2020-08-27 19:40:00,Bucks,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2589,17283.0,906,4272,False,True,True,True,False,True,False,85.0
2020-08-03 19:19:00,Monmouth,New Jersey,Thunderstorm Wind,MODERATE,50.0,2579,202864.0,903,4255,False,True,True,True,False,True,False,98.7
2020-08-28 15:42:00,Philadelphia,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2229,1710.0,780,3678,True,True,True,True,False,False,True,30.4
2020-08-28 15:43:00,Bucks,Pennsylvania,Thunderstorm Wind,MODERATE,55.0,2589,13074.0,906,4272,False,True,True,True,False,True,False,80.2
2020-08-28 14:55:00,Chester,Pennsylvania,Thunderstorm Wind,MODERATE,52.0,2312,2999.0,809,3815,True,True,True,True,False,False,True,22.9
2020-08-28 15:23:00,Chester,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2312,2999.0,809,3815,True,True,True,True,False,False,True,22.9
2020-08-28 15:23:00,Montgomery,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2164,1324.0,757,3571,True,True,True,True,False,False,True,63.4
2020-08-28 15:26:00,Chester,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2312,2999.0,809,3815,True,True,True,True,False,False,True,22.9
2020-08-28 15:18:00,Chester,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2312,2999.0,809,3815,True,True,True,True,False,False,True,22.9
2020-08-28 15:18:00,Chester,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2312,2999.0,809,3815,True,True,True,True,False,False,True,22.9
2020-08-28 14:48:00,Montgomery,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2164,1324.0,757,3571,True,True,True,True,False,False,True,63.4
2020-08-28 14:50:00,Montgomery,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2164,1324.0,757,3571,True,True,True,True,False,False,True,63.4
2020-08-28 14:55:00,Bucks,Pennsylvania,Thunderstorm Wind,MODERATE,55.0,2589,13074.0,906,4272,False,True,True,True,False,True,False,80.2
2020-08-28 14:55:00,Chester,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2312,2999.0,809,3815,True,True,True,True,False,False,True,22.9
2020-08-28 14:55:00,Montgomery,Pennsylvania,Thunderstorm Wind,MODERATE,55.0,2164,1324.0,757,3571,True,True,True,True,False,False,True,63.4
2020-08-28 15:03:00,Montgomery,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2164,1324.0,757,3571,True,True,True,True,False,False,True,63.4
2020-08-28 15:05:00,Bucks,Pennsylvania,Thunderstorm Wind,SEVERE,60.0,6915,13074.0,1729,12101,False,True,True,True,False,True,False,47.1
2020-08-28 15:12:00,Bucks,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2589,13074.0,906,4272,False,True,True,True,False,True,False,80.2
2020-08-28 15:13:00,Chester,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2312,2999.0,809,3815,True,True,True,True,False,False,True,22.9
2020-08-28 15:08:00,Montgomery,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2164,1324.0,757,3571,True,True,True,True,False,False,True,63.4
2020-08-28 15:11:00,Chester,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2312,2999.0,809,3815,True,True,True,True,False,False,True,22.9
2020-08-28 15:11:00,Chester,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2312,2999.0,809,3815,True,True,True,True,False,False,True,22.9
2020-08-28 15:15:00,Bucks,Pennsylvania,Thunderstorm Wind,SEVERE,60.0,6915,13074.0,1729,12101,False,True,True,True,False,True,False,47.1
2020-08-28 15:14:00,Bucks,Pennsylvania,Thunderstorm Wind,MODERATE,55.0,2589,13074.0,906,4272,False,True,True,True,False,True,False,80.2
2020-08-28 15:14:00,Bucks,Pennsylvania,Thunderstorm Wind,SEVERE,60.0,6915,13074.0,1729,12101,False,True,True,True,False,True,False,47.1
2020-08-28 15:36:00,Philadelphia,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2229,1710.0,780,3678,True,True,True,True,False,False,True,30.4
2020-08-28 15:39:00,Chester,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2312,2999.0,809,3815,True,True,True,True,False,False,True,22.9
2020-08-28 15:16:00,Bucks,Pennsylvania,Thunderstorm Wind,SEVERE,60.0,6915,13074.0,1729,12101,False,True,True,True,False,True,False,47.1
2020-08-28 15:16:00,Chester,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2312,2999.0,809,3815,True,True,True,True,False,False,True,22.9
2020-08-28 15:21:00,Bucks,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2589,13074.0,906,4272,False,True,True,True,False,True,False,80.2
2020-08-28 15:21:00,Chester,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2312,2999.0,809,3815,True,True,True,True,False,False,True,22.9
2020-08-28 15:21:00,Chester,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2312,2999.0,809,3815,True,True,True,True,False,False,True,22.9
2020-08-28 15:21:00,Montgomery,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2164,1324.0,757,3571,True,True,True,True,False,False,True,63.4
2020-08-28 15:23:00,Bucks,Pennsylvania,Thunderstorm Wind,MODERATE,55.0,2589,13074.0,906,4272,False,True,True,True,False,True,False,80.2
2020-08-28 15:36:00,Montgomery,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2164,1324.0,757,3571,True,True,True,True,False,False,True,63.4
2020-08-28 15:31:00,Montgomery,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2164,1324.0,757,3571,True,True,True,True,False,False,True,63.4
2020-08-28 15:32:00,Bucks,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2589,13074.0,906,4272,False,True,True,True,False,True,False,80.2
2020-08-28 15:29:00,Bucks,Pennsylvania,Thunderstorm Wind,MODERATE,55.0,2589,13074.0,906,4272,False,True,True,True,False,True,False,80.2
2020-08-28 15:29:00,Chester,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2312,2999.0,809,3815,True,True,True,True,False,False,True,22.9
2020-08-28 15:30:00,Bucks,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2589,13074.0,906,4272,False,True,True,True,False,True,False,80.2
2020-08-28 15:26:00,Montgomery,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2164,1324.0,757,3571,True,True,True,True,False,False,True,63.4
2020-08-28 15:26:00,Montgomery,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2164,1324.0,757,3571,True,True,True,True,False,False,True,63.4
2020-08-28 15:59:00,Bucks,Pennsylvania,Thunderstorm Wind,MODERATE,55.0,2589,13074.0,906,4272,False,True,True,True,False,True,False,80.2
2020-08-28 16:30:00,Ocean,New Jersey,Thunderstorm Wind,SEVERE,60.0,7853,11016.0,1963,13743,True,True,True,True,False,True,False,28.7
2020-08-28 16:35:00,Ocean,New Jersey,Thunderstorm Wind,MODERATE,55.0,2880,11016.0,1008,4752,False,True,True,True,False,True,False,73.9
2020-08-28 16:38:00,Ocean,New Jersey,Thunderstorm Wind,MODERATE,50.0,2880,11016.0,1008,4752,False,True,True,True,False,True,False,73.9
