storm_date,county,state,event_type,tier_severe,tier_moderate,magnitude,storm_duration_hrs,month,is_winter,is_summer,is_hurricane_season,baseline_typical,baseline_high,baseline_extreme,baseline_p25,baseline_n_history,tree_canopy_pct,population_density,infrastructure_vulnerability,land_area_sqmi,population_2023,actual_customers,predicted_customers,predicted_major,predicted_critical,actual_major,actual_critical,major_correct,critical_correct,ci_pct,ci_low,ci_high,in_ci,pct_error
2020-08-28 14:45:00,Montgomery,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,1824.0,3156.0,9291.199999999995,1303.0,1085,42,1783.3,0.609,483,861332,1112.0,3482.01953125,True,False,True,False,True,True,0.55,1567.0,5397.0,False,213.1312528102518
2020-08-28 15:26:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,2089.0,3446.0,9478.5,1391.5,943,48,741.7,0.436,750,556280,2875.0,2780.440185546875,True,False,True,False,True,True,0.55,1251.0,4310.0,True,3.2890370244565217
2020-07-23 17:02:00,Rockingham,New Hampshire,Thunderstorm Wind,0,1,50.0,0.5,7,0,1,0,2113.0,4102.25,16612.699999999993,1350.5,458,55,460.2,0.422,695,319861,14.0,200.0,False,False,False,False,True,True,0.55,90.0,310.0,False,1328.5714285714287
2020-08-27 20:02:00,Middlesex,New Jersey,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,1907.0,3048.0,7980.799999999999,1344.0,1255,28,2786.9,0.568,309,861149,2943.0,9005.205078125,True,False,True,False,True,True,0.55,4052.0,13958.0,False,205.9872605547061
2020-08-23 19:40:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,2089.0,3446.0,9478.5,1391.5,943,48,741.7,0.436,750,556280,1437.0,2780.440185546875,True,False,True,False,True,True,0.55,1251.0,4310.0,True,93.48922655162664
2020-08-23 19:46:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,2089.0,3446.0,9478.5,1391.5,943,48,741.7,0.436,750,556280,1437.0,2982.230224609375,True,False,True,False,True,True,0.55,1342.0,4622.0,True,107.53167881763221
2020-08-23 19:45:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,2089.0,3446.0,9478.5,1391.5,943,48,741.7,0.436,750,556280,1437.0,2982.230224609375,True,False,True,False,True,True,0.55,1342.0,4622.0,True,107.53167881763221
2020-08-23 19:54:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,2089.0,3446.0,9478.5,1391.5,943,48,741.7,0.436,750,556280,1437.0,3000.282470703125,True,False,True,False,True,True,0.55,1350.0,4650.0,True,108.78792419645964
2020-08-23 20:10:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,2089.0,3446.0,9478.5,1391.5,943,48,741.7,0.436,750,556280,1437.0,2912.74462890625,True,False,True,False,True,True,0.55,1311.0,4515.0,True,102.69621634699027
2020-08-03 19:32:00,Monmouth,New Jersey,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,2050.5,3662.5,11675.0,1400.0,1196,38,1367.3,0.501,472,645354,202864.0,3750.442138671875,True,False,True,True,True,False,0.55,1688.0,5813.0,False,98.15125298787765
2020-08-03 19:45:00,Middlesex,New Jersey,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,1907.0,3048.0,7980.799999999999,1344.0,1255,28,2786.9,0.568,309,861149,100804.0,9005.205078125,True,False,True,True,True,False,0.55,4052.0,13958.0,False,91.06661930268145
2020-08-27 19:22:00,Bucks,Pennsylvania,Thunderstorm Wind,0,1,55.0,0.5,8,0,1,1,2167.0,3708.0,10131.799999999992,1431.0,949,50,1074.1,0.515,604,648778,17283.0,12407.8544921875,True,True,True,True,True,True,0.55,5584.0,19232.0,True,28.207750435760577
2020-08-03 18:55:00,Ocean,New Jersey,Thunderstorm Wind,1,0,65.0,0.5,8,0,1,1,2510.0,4476.5,11575.899999999981,1675.0,1235,45,1063.9,0.483,628,668132,216332.0,49078.890625,True,True,True,True,True,True,0.65,17178.0,80980.0,False,77.3131618877466
2020-08-03 18:37:00,Ocean,New Jersey,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,2510.0,4476.5,11575.899999999981,1675.0,1235,45,1063.9,0.483,628,668132,216332.0,6103.7744140625,True,False,True,True,True,False,0.55,2747.0,9461.0,False,97.17851523858583
2020-08-03 18:50:00,Ocean,New Jersey,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,2510.0,4476.5,11575.899999999981,1675.0,1235,45,1063.9,0.483,628,668132,216332.0,4604.3974609375,True,False,True,True,True,False,0.55,2072.0,7137.0,False,97.87160592934124
2020-08-03 19:11:00,Ocean,New Jersey,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,2510.0,4476.5,11575.899999999981,1675.0,1235,45,1063.9,0.483,628,668132,216332.0,6103.7744140625,True,False,True,True,True,False,0.55,2747.0,9461.0,False,97.17851523858583
2020-08-03 19:15:00,Middlesex,New Jersey,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,1907.0,3048.0,7980.799999999999,1344.0,1255,28,2786.9,0.568,309,861149,100804.0,6203.60791015625,True,False,True,True,True,False,0.55,2792.0,9616.0,False,93.84587128471465
2020-08-03 18:51:00,Ocean,New Jersey,Thunderstorm Wind,0,1,58.0,0.5,8,0,1,1,2510.0,4476.5,11575.899999999981,1675.0,1235,45,1063.9,0.483,628,668132,216332.0,18857.24609375,True,True,True,True,True,True,0.55,8486.0,29229.0,False,91.28319153257493
2020-08-03 18:59:00,Ocean,New Jersey,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,2510.0,4476.5,11575.899999999981,1675.0,1235,45,1063.9,0.483,628,668132,216332.0,5174.7607421875,True,False,True,True,True,False,0.55,2329.0,8021.0,False,97.60795409731917
2020-08-27 19:27:00,Bucks,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,2167.0,3708.0,10131.799999999992,1431.0,949,50,1074.1,0.515,604,648778,17283.0,4128.86181640625,True,False,True,True,True,False,0.55,1858.0,6400.0,False,76.11027126999798
2020-08-03 19:18:00,Ocean,New Jersey,Thunderstorm Wind,0,1,51.0,0.5,8,0,1,1,2510.0,4476.5,11575.899999999981,1675.0,1235,45,1063.9,0.483,628,668132,216332.0,83435.921875,True,True,True,True,True,True,0.55,37546.0,129326.0,False,61.43153954338702
2020-08-03 19:19:00,Ocean,New Jersey,Thunderstorm Wind,0,1,51.0,0.5,8,0,1,1,2510.0,4476.5,11575.899999999981,1675.0,1235,45,1063.9,0.483,628,668132,216332.0,84296.4453125,True,True,True,True,True,True,0.55,37933.0,130659.0,False,61.03376046424015
2020-08-27 19:40:00,Bucks,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,2167.0,3708.0,10131.799999999992,1431.0,949,50,1074.1,0.515,604,648778,17283.0,4666.25830078125,True,False,True,True,True,False,0.55,2100.0,7233.0,False,73.00087773661257
2020-08-03 19:19:00,Monmouth,New Jersey,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,2050.5,3662.5,11675.0,1400.0,1196,38,1367.3,0.501,472,645354,202864.0,10206.2646484375,True,True,True,True,True,True,0.55,4593.0,15820.0,False,94.96891284385721
2020-08-28 15:42:00,Philadelphia,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,1830.0,2771.0,5455.1,1354.0,1507,20,11571.2,0.52,134,1550542,1710.0,12152.2001953125,True,True,True,False,True,False,0.55,5468.0,18836.0,False,610.6549821820175
