feature,importance
is_winter,0.14743094742298127
population_density,0.07821964398026467
log_pop_density,0.05181556195020676
log_pop,0.047418246418237685
log_duration,0.04508969597518444
baseline_extreme,0.04445262253284454
is_hurricane_season,0.044065649062395094
tier_x_density,0.03693333715200424
month_cos,0.03236918225884437
storm_duration_hrs,0.030513622984290122
baseline_typical,0.029845362529158592
land_area_sqmi,0.02939140871167183
impervious_pct,0.028962388262152673
type_tornado,0.028199542406946422
month_sin,0.0279170211404562
log_days_since,0.02714463770389557
month,0.02501562163233757
type_wind,0.02352617084980011
tier_x_canopy,0.02302243039011955
tree_canopy_pct,0.022465883195400237
baseline_high,0.020945614948868752
is_summer,0.01882157623767853
infrastructure_vulnerability,0.018401775881648062
days_since_last_storm,0.017451413348317145
storms_365d_prior,0.015400966256856918
magnitude,0.015322771854698658
storms_90d_prior,0.01408739872276783
type_snow,0.012902303040027619
storms_30d_prior,0.011813723482191563
type_thunderstorm,0.009928090404719115
type_winter_storm,0.009536427771672606
tier_moderate,0.006903821602463722
tier_severe,0.004685188829898834
type_ice,0.0
type_hurricane,0.0
