county,state,outage_rate,major_outage_days,peak_customers_out,avg_customers_out,total_days
Philadelphia,Pennsylvania,0.37017931712110047,1507,43823.0,1221.4244657332351,4071
Middlesex,Massachusetts,0.3233488828873067,1317,148898.0,1401.8799410753745,4073
Essex,New Jersey,0.3229447852760736,1316,85509.0,1133.6687116564417,4075
Monmouth,New Jersey,0.31606765327695563,1196,202864.0,1499.3570295983086,3784
Morris,New Jersey,0.30793483972674723,1172,133793.0,1394.0265370467682,3806
Middlesex,New Jersey,0.3078999018645731,1255,100804.0,1100.7779685966634,4076
Ocean,New Jersey,0.30690854870775347,1235,216332.0,1535.2432902584494,4024
Suffolk,New York,0.2905214487541742,1131,599357.0,1375.676085281274,3893
Bergen,New Jersey,0.2861696910250123,1167,140979.0,1048.2410495340853,4078
Allegheny,Pennsylvania,0.26899434472584216,1094,270977.0,1410.7533808704204,4067
Montgomery,Pennsylvania,0.2661270542065244,1085,141915.0,1245.3102771645817,4077
Worcester,Massachusetts,0.24065880039331367,979,70225.0,998.5425270403147,4068
Erie,New York,0.23920510304219825,975,147874.0,1111.3795387634937,4076
Nassau,New York,0.23343605546995377,909,457901.0,1139.5883410374936,3894
Bucks,Pennsylvania,0.23311225743060673,949,106525.0,1190.3023827069517,4071
Passaic,New Jersey,0.2318449460255152,945,69938.0,728.8940137389598,4076
Chester,Pennsylvania,0.23169533169533169,943,110546.0,1152.557493857494,4070
Union,New Jersey,0.22914102879645581,931,77985.0,823.6906226925917,4063
Burlington,New Jersey,0.22585401818628656,919,93115.0,903.7977390022119,4069
Cumberland,Maine,0.21499219156689225,826,109526.0,1082.9646017699115,3842
Camden,New Jersey,0.2027491408934708,826,93824.0,786.8279332351498,4074
Delaware,Pennsylvania,0.19911504424778761,810,109686.0,966.6543756145526,4068
Capitol,Connecticut,0.1935483870967742,42,14677.0,803.0414746543779,217
Essex,Massachusetts,0.19111111111111112,774,112655.0,928.8595061728395,4050
Monroe,New York,0.1847718253968254,745,284600.0,857.0863095238095,4032
Fairfield,Connecticut,0.18303451966818304,684,190956.0,1089.5159218624565,3737
Berks,Pennsylvania,0.18137134431064145,738,34299.0,656.001720324404,4069
Westmoreland,Pennsylvania,0.17735200196511913,722,67124.0,657.8147875214935,4071
