year,month,outage_events,avg_customers_out,max_customers_out,county_days_total,outage_rate
2014,11,581,596.2244384198295,78205.0,5164,0.11250968241673122
2014,12,412,298.7436507936508,16943.0,5040,0.08174603174603175
2015,1,325,228.99649195212547,12800.0,4846,0.06706562113082955
2015,2,264,222.4813258636788,11218.0,4284,0.06162464985994398
2015,3,417,290.70861723446893,31277.0,4990,0.08356713426853707
2015,4,420,313.01821821821824,17130.0,4995,0.08408408408408409
2015,5,434,305.04658507698383,44646.0,5066,0.08566916699565733
2015,6,774,801.4507725476105,107229.0,5566,0.1390585698886094
2015,7,601,388.63453815261045,26012.0,5727,0.10494150515103894
2015,8,619,463.2038885065382,93114.0,5812,0.10650378527185134
2015,9,507,368.0412371134021,44453.0,5238,0.09679266895761741
2015,10,535,336.85121951219514,21274.0,5740,0.09320557491289198
2015,11,436,288.699524506218,30056.0,5468,0.07973664959765911
2015,12,408,304.52390205985233,38907.0,5146,0.07928488146132918
2016,1,453,348.1185043144775,106447.0,5215,0.08686481303930968
2016,2,694,603.7446935131918,32589.0,5041,0.1376710970045626
2016,3,473,313.1876755946806,19354.0,5339,0.0885933695448586
2016,4,590,443.19044845661034,38502.0,5151,0.11454086585129102
2016,5,528,338.6848949055932,37978.0,5614,0.09405058781617386
2016,6,726,487.96186730506156,37421.0,5848,0.12414500683994528
2016,7,963,648.3603853690398,50123.0,6124,0.15725016329196603
2016,8,779,468.5290494423173,28731.0,6007,0.12968203762277344
2016,9,550,365.0539366515837,21052.0,5525,0.09954751131221719
2016,10,551,341.97286198893056,19420.0,5601,0.09837529012676308
2016,11,507,338.58217270194984,21285.0,5385,0.09415041782729805
2016,12,485,356.42711734203954,49904.0,5207,0.09314384482427501
2017,1,497,334.5016841317365,24094.0,5344,0.09300149700598802
2017,2,443,393.43608549874267,50097.0,4772,0.09283319362950544
2017,3,736,678.6739444243955,102160.0,5542,0.13280404186214362
2017,4,462,314.8295347523074,16397.0,5309,0.08702203804859672
2017,5,717,458.40756517294255,20527.0,5869,0.12216731981598228
2017,6,695,457.55838604889726,26502.0,5849,0.11882373055223115
2017,7,681,414.1677162744448,51916.0,6034,0.11286045740802121
2017,8,634,385.72734927585043,24545.0,5938,0.10676995621421353
2017,9,489,333.4053710760298,18630.0,5511,0.08873162765378334
2017,10,741,868.0003395009336,109526.0,5891,0.12578509590901374
2017,11,560,490.7741273100616,64784.0,5357,0.10453612096322569
2017,12,404,259.28248384781045,17635.0,5572,0.07250538406317301
2018,1,512,319.93509700176367,22493.0,5670,0.09029982363315697
2018,2,332,235.03347534996956,24796.0,4929,0.06735646175694868
2018,3,993,1958.518799646955,148898.0,5665,0.17528684907325684
2018,4,736,462.2530270655271,28725.0,5616,0.13105413105413105
2018,5,802,663.7843775427176,67715.0,6145,0.13051261187957688
2018,6,625,403.29352734571,30706.0,5979,0.10453253052349891
2018,7,942,685.632503192848,284600.0,6264,0.1503831417624521
2018,8,709,382.0480012843153,19949.0,6229,0.11382244340985712
2018,9,564,374.2874623160135,18720.0,5639,0.10001773364071644
2018,10,602,348.4561855670103,16205.0,6208,0.09697164948453608
2018,11,707,439.99068219633943,37800.0,6010,0.11763727121464226
2018,12,340,243.28886756238003,24968.0,5210,0.06525911708253358
2019,1,502,331.4090742101396,22450.0,5444,0.09221160911094783
2019,2,624,514.8756425464611,58700.0,5058,0.12336892052194544
2019,3,400,265.3574253865516,17443.0,5562,0.0719165767709457
2019,4,505,347.8627090608344,23284.0,5441,0.09281382098878882
2019,5,557,357.46155241204207,19873.0,5514,0.10101559666303954
2019,6,590,385.69250363901017,55387.0,5496,0.10735080058224163
2019,7,684,650.2422545726017,137151.0,5358,0.1276595744680851
2019,8,618,401.0194449688503,40156.0,5297,0.11666981310175571
2019,9,368,265.8100179604869,22176.0,5011,0.07343843544202754
2019,10,594,461.219014084507,60602.0,5680,0.1045774647887324
2019,11,630,506.0336090093261,52555.0,5683,0.11085694175611473
2019,12,513,338.9543346414556,39284.0,5606,0.09150909739564753
2020,1,353,247.67107350608143,52605.0,5673,0.06222457253657677
2020,2,435,378.502356267672,56992.0,5305,0.08199811498586239
2020,3,381,253.10494778291388,18919.0,5841,0.06522855675398048
2020,4,615,585.9160467587673,65190.0,5646,0.10892667375132838
2020,5,484,313.920920080591,32746.0,5956,0.08126259234385494
2020,6,691,636.365894039735,141915.0,6040,0.11440397350993377
2020,7,872,490.6714375589808,40567.0,6358,0.13715004718464927
2020,8,1179,2603.864049784586,216332.0,6267,0.1881282910483485
2020,9,446,316.9229040622299,24510.0,5785,0.07709593777009507
2020,10,616,513.0548376408217,67944.0,6036,0.10205434062292909
2020,11,678,456.06961916250214,29559.0,5803,0.11683611924866448
2020,12,613,529.1972058033316,43564.0,5583,0.10979759985670787
2021,1,332,223.373350207919,27662.0,5531,0.060025311878502983
2021,2,328,270.9123754152824,24190.0,4816,0.0681063122923588
2021,3,719,445.2945632048477,38138.0,5941,0.12102339673455648
2021,4,425,273.14141231713927,12877.0,5537,0.07675636626331948
2021,5,536,326.82568185668305,25280.0,5903,0.09080128748094189
2021,6,778,470.44557879137164,30960.0,6073,0.12810801910093858
2021,7,1046,626.3944461975386,49121.0,6338,0.16503628905017356
2021,8,700,439.22694923295904,52955.0,6323,0.11070694290684802
2021,9,685,457.9736219141021,45880.0,5914,0.11582685153872167
2021,10,537,599.1961488250653,351202.0,6128,0.08763054830287206
2021,11,414,255.34544515240228,15008.0,5807,0.07129326674702945
2021,12,574,378.9600137883488,46288.0,5802,0.098931402964495
2022,1,418,319.99353146853144,85305.0,5720,0.07307692307692308
2022,2,538,385.8175546186278,47925.0,5218,0.10310463779225756
2022,3,589,366.45551061678464,39726.0,5934,0.09925851027974385
2022,4,527,374.56781130766564,44011.0,5766,0.0913978494623656
2022,5,555,346.6134989377349,31009.0,6119,0.09070109495015526
2022,6,577,353.77075163398695,23987.0,6120,0.09428104575163399
2022,7,749,452.2528080999842,28382.0,6321,0.1184939091915836
2022,8,657,385.7445997458704,44821.0,6296,0.10435196950444726
2022,9,474,288.8673829108612,19508.0,5957,0.07957025348329697
2022,10,422,272.81947901111664,49679.0,6027,0.0700182512029202
2022,11,506,296.18249750913316,28690.0,6022,0.08402524078379275
2022,12,878,745.8334429463993,60853.0,6082,0.14436040776060508
2023,1,359,277.6888185654008,39304.0,5688,0.06311533052039381
2023,2,442,290.63870120120123,30137.0,5328,0.08295795795795796
2023,3,631,508.45064091892795,46195.0,6007,0.10504411519893457
2023,4,560,415.98639807162533,36724.0,5808,0.09641873278236915
2023,5,396,255.4560064935065,20525.0,6160,0.06428571428571428
2023,6,584,354.5941080196399,20514.0,6110,0.0955810147299509
2023,7,932,519.1206518332812,29682.0,6382,0.1460357254779066
2023,8,579,408.9578760490639,50218.0,6196,0.0934473854099419
2023,9,675,470.15792154865005,30603.0,5889,0.11462047885888946
2023,10,338,225.3495292535306,15425.0,5948,0.05682582380632145
2023,11,404,261.1919032597266,17772.0,5706,0.07080266386260077
