feature,importance
roll_12m_outage_days,0.39991149741260906
roll_6m_outage_days,0.3351508713483549
is_summer,0.05647765651145594
roll_3m_outage_days,0.05054579996317674
state_month_avg,0.014567742380841107
storm_count,0.014138244440378546
wind_events,0.010853604904272318
lag_2_outage_rate,0.009210762848836603
year_trend,0.008494572384391044
lag_6_outage_rate,0.007922421694588294
month_cos,0.007268406347174991
lag_2_cust_hours,0.007224286316675638
lag_1_cust_hours,0.006649175088875943
lag_1_outage_days,0.006454850322488061
lag_2_outage_days,0.00626314834639018
lag_3_cust_hours,0.004724255506459326
lag_12_cust_hours,0.004442118488675464
lag_1_outage_rate,0.004284684147467049
lag_12_outage_rate,0.004191038135206812
roll_12m_outage_rate,0.003775583482819
roll_6m_outage_rate,0.003763671561970439
same_month_last_year,0.0035680048225078926
lag_3_outage_days,0.0034029868371484137
roll_3m_outage_rate,0.003347193445260215
lag_12_outage_days,0.003190800035709616
lag_6_cust_hours,0.0028665341708844264
state_id,0.002777050570456441
lag_3_outage_rate,0.0026391194868243496
lag_6_outage_days,0.0023558571562811363
month_sin,0.002072758038603041
mean_severity,0.0019932733752683176
is_spring,0.001893571261045617
is_winter,0.0017149728830979185
winter_storms,0.0006677413637701974
state_risk,0.0004919403953231397
max_severity,0.00044335108999856885
ice_events,0.00015379458000568555
is_fall,0.00010665885470747112
